PromptID,BillID,PromptingStrategy,Prompt,Description,Major,MajorText,MajorLLM,MajorTextLLM,ConfidenceLLM,ExplanationLLM
1,110-S-2885,No Modification,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property.,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
2,110-S-2885,Persona Modification,"You are a knowledgeable political analyst. Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property.,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
3,110-S-2885,Persona Modification,"Answer this question as if you are a political scientist that studies legislation in the United States Congress. Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property.,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
4,110-S-2885,Persona Modification,"Answer this question as if you are an expert in United States politics. Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property.,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
5,110-S-2885,Persona Modification,"Answer this question as if you were a helpful research assistant for a political scientist. Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property.,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
6,110-S-2885,Chain-of-Thoughts Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Think carefully. Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification,
    ""explanation"": a one-sentence explanation of your bill category answer
}",A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property.,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill focuses on amending the Internal Revenue Code to expand the availability of industrial development bonds, which falls under Banking, Finance, and Domestic Commerce."
7,110-S-2885,Chain-of-Thoughts Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Let's think step by step. Lay out each step. Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification,
    ""explanation"": a one-sentence explanation of your bill category answer
}",A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property.,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill focuses on amending the Internal Revenue Code to expand the availability of industrial development bonds, which falls under Banking, Finance, and Domestic Commerce."
8,110-S-2885,Chain-of-Thoughts Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Please provide an explanation for your answer. Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification,
    ""explanation"": a one-sentence explanation of your bill category answer
}",A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property.,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,"The bill focuses on amending the Internal Revenue Code to expand the availability of industrial development bonds, which falls under Banking, Finance, and Domestic Commerce."
9,110-S-2885,Few-Shot Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",A bill to amend the Internal Revenue Code of 1986 to expand the availability of industrial development bonds to facilities manufacturing intangible property.,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",1.0,
10,92-HR-1246,No Modification,"Here is a description of a bill introduced in the U.S. Congress:
""To amend section 1071 of the Internal Revenue Code of 1954 as amended.""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",To amend section 1071 of the Internal Revenue Code of 1954 as amended,1,Macroeconomics,14,"Banking, Finance, and Domestic Commerce",0.85,
